NiI2321   2320.744  0.685100  6.942E8   
NiI2312   2311.669  0.376500  4.700E8   
NiII1752  1751.910  0.063800  1.040E8
NiII1710  1709.600  0.068840  1.571E8    
NiII1742  1741.549  0.103500  2.276E8    
NiII1703  1703.405  0.012240  4.221E7            
NiII1393  1393.324  0.022220  7.636E7       
ZnII2026  2026.136  0.515000  4.184e8     
CIII1908  1908.734  0.4       0.0
OIII      4958.911  0.4       0.0
OIII      5006.843  0.4       0.0
H$\alpha$  6562.8  0.695800  6.465E7
H$\beta$   4861.33  0.121800  2.062E7
H$\gamma$  4340.47  0.044370  9.425E6
H$\delta$  4101.76  0.4       0.4
H$\epsilon$ 3970.07 0.4       0.4
H8          3889.05 0.4       0.4
H9         3835.39  0.4       0.4
H10         3797.90 0.4       0.4
H11        3770.63  0.4       0.4
OIIair?    1478.1351 0.4       0.4
NeIII      3869.76  0.4       0.4
OII3726    3726.03  0.4       0.4
[NII]6583  6583.460 0.4       0.4
[NII]6548  6548.050 0.4       0.4
[SII]6716  6716.440 0.4       0.4
